support,itemsets,length
0.05635480029609604,frozenset({'6 ribbons rustic charm'}),1
0.06845611663609154,frozenset({'60 teatime fairy cake cases'}),1
0.04698915387338676,frozenset({'72 sweetheart fairy cake cases'}),1
0.04097068005535708,frozenset({'alarm clock bakelike green'}),1
0.04386727173248366,frozenset({'alarm clock bakelike red'}),1
0.09037366032634933,frozenset({'assorted colour bird ornament'}),1
0.06160084966689196,frozenset({'baking set 9 piece retrospot'}),1
0.04830871230407776,frozenset({'bathroom metal sign'}),1
0.04525119886711081,frozenset({'charlotte bag suki design'}),1
0.055389269737053846,frozenset({'chocolate hot water bottle'}),1
0.038685591065623894,frozenset({'clothes pegs retrospot pack 24'}),1
0.04052009912780406,frozenset({'colour glass t-light holder hanging'}),1
0.0458627015545042,frozenset({'cook with wine metal sign'}),1
0.04180747320652699,frozenset({'cream heart card holder'}),1
0.04293392552540955,frozenset({'dolly girl lunch box'}),1
0.04570177979466383,frozenset({'dotcom postage'}),1
0.044478774419877055,frozenset({'feltcraft 6 flower friends'}),1
0.036432686427858775,frozenset({'feltcraft butterfly hearts'}),1
0.051784622316629655,frozenset({'gin + tonic diet metal sign'}),1
0.0432235846931222,frozenset({'green regency teacup and saucer'}),1
0.04698915387338676,frozenset({'hand over the chocolate   sign'}),1
0.039007434585304625,frozenset({'hand warmer owl design'}),1
0.03485565318142319,frozenset({'hand warmer scotty dog design'}),1
0.0458627015545042,frozenset({'hanging heart jar t-light holder'}),1
0.04901676804737536,frozenset({'hanging heart zinc t-light holder'}),1
0.06298477680151911,frozenset({'heart of wicker large'}),1
0.06935727849119758,frozenset({'heart of wicker small'}),1
0.06649287116603907,frozenset({'home building block word'}),1
0.037848797914453995,frozenset({'hot baths metal sign'}),1
0.05094782916545975,frozenset({'hot water bottle tea and sympathy'}),1
0.03945801551285765,frozenset({'ivory kitchen scales'}),1
0.038621222361687746,frozenset({'jam making set printed'}),1
0.03733384828296482,frozenset({'jam making set with jars'}),1
0.06044221299604133,frozenset({'jumbo  bag baroque black white'}),1
0.042290238486048085,frozenset({'jumbo bag owls'}),1
0.04644201988992951,frozenset({'jumbo bag pink polkadot'}),1
0.05210646583631039,frozenset({'jumbo bag pink vintage paisley'}),1
0.10533938399150333,frozenset({'jumbo bag red retrospot'}),1
0.0402304399600914,frozenset({'jumbo bag spaceboy design'}),1
0.059798525956679865,frozenset({'jumbo bag strawberry'}),1
0.04554085803482347,frozenset({'jumbo bag woodland animals'}),1
0.07058028386598436,frozenset({'jumbo shopper vintage red paisley'}),1
0.0425155289498246,frozenset({'jumbo storage bag skulls'}),1
0.07498954008561037,frozenset({'jumbo storage bag suki'}),1
0.05458466093785202,frozenset({'love building block word'}),1
0.0756654114769399,frozenset({'lunch bag  black skull.'}),1
0.06652505551800715,frozenset({'lunch bag cars blue'}),1
0.04122815487110167,frozenset({'lunch bag pink polkadot'}),1
0.059122654565350326,frozenset({'lunch bag red retrospot'}),1
0.03923272504908114,frozenset({'lunch bag red spotty'}),1
0.06787679830066622,frozenset({'lunch bag spaceboy design'}),1
0.041163786167165525,frozenset({'lunch bag suki  design'}),1
0.062051430594444984,frozenset({'lunch bag woodland'}),1
0.0658491841266776,frozenset({'natural slate heart chalkboard'}),1
0.041936210614399276,frozenset({'pack of 60 dinosaur cake cases'}),1
